PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11
0,E02000001,1,1,2
1,E02000001,1,1,2
2,E02000001,1,1,2
3,E02000001,1,1,2
4,E02000001,1,1,2
5,E02000001,1,1,2
6,E02000001,1,1,2
7,E02000001,1,1,2
8,E02000001,1,1,2
9,E02000001,1,1,2
10,E02000001,1,1,2
11,E02000001,1,1,2
12,E02000001,1,1,2
13,E02000001,1,1,2
14,E02000001,1,1,2
15,E02000001,1,1,2
16,E02000001,1,1,2
17,E02000001,1,1,2
18,E02000001,1,1,2
19,E02000001,1,1,2
20,E02000001,1,1,2
21,E02000001,1,1,2
22,E02000001,1,1,5
23,E02000001,1,1,5
24,E02000001,1,1,5
25,E02000001,1,1,5
26,E02000001,1,1,5
27,E02000001,1,1,5
28,E02000001,1,1,9
29,E02000001,1,1,12
30,E02000001,1,1,14
31,E02000001,1,1,15
32,E02000001,1,1,16
33,E02000001,1,1,16
34,E02000001,1,1,16
35,E02000001,1,2,2
36,E02000001,1,2,2
37,E02000001,1,2,2
38,E02000001,1,2,2
39,E02000001,1,2,2
40,E02000001,1,2,2
41,E02000001,1,2,2
42,E02000001,1,2,2
43,E02000001,1,2,2
44,E02000001,1,2,2
45,E02000001,1,2,2
46,E02000001,1,2,2
47,E02000001,1,2,2
48,E02000001,1,2,2
49,E02000001,1,2,2
50,E02000001,1,2,2
51,E02000001,1,2,2
52,E02000001,1,2,2
53,E02000001,1,2,2
54,E02000001,1,2,2
55,E02000001,1,2,5
56,E02000001,1,2,5
57,E02000001,1,2,5
58,E02000001,1,2,5
59,E02000001,1,2,5
60,E02000001,1,2,5
61,E02000001,1,2,5
62,E02000001,1,2,5
63,E02000001,1,2,5
64,E02000001,1,2,5
65,E02000001,1,2,12
66,E02000001,1,2,12
67,E02000001,1,2,15
68,E02000001,1,2,15
69,E02000001,1,3,2
70,E02000001,1,3,2
71,E02000001,1,3,2
72,E02000001,1,3,2
73,E02000001,1,3,2
74,E02000001,1,3,2
75,E02000001,1,3,2
76,E02000001,1,3,2
77,E02000001,1,3,2
78,E02000001,1,3,2
79,E02000001,1,3,2
80,E02000001,1,3,2
81,E02000001,1,3,2
82,E02000001,1,3,2
83,E02000001,1,3,2
84,E02000001,1,3,3
85,E02000001,1,3,3
86,E02000001,1,3,5
87,E02000001,1,3,5
88,E02000001,1,3,5
89,E02000001,1,3,5
90,E02000001,1,3,9
91,E02000001,1,3,9
92,E02000001,1,3,14
93,E02000001,1,3,14
94,E02000001,1,3,16
95,E02000001,1,3,16
96,E02000001,1,3,20
97,E02000001,1,3,20
98,E02000001,1,4,2
99,E02000001,1,4,2
100,E02000001,1,4,2
101,E02000001,1,4,2
102,E02000001,1,4,2
103,E02000001,1,4,2
104,E02000001,1,4,2
105,E02000001,1,4,2
106,E02000001,1,4,2
107,E02000001,1,4,2
108,E02000001,1,4,2
109,E02000001,1,4,2
110,E02000001,1,4,2
111,E02000001,1,4,5
112,E02000001,1,4,5
113,E02000001,1,4,5
114,E02000001,1,4,12
115,E02000001,1,4,22
116,E02000001,1,5,2
117,E02000001,1,5,2
118,E02000001,1,5,2
119,E02000001,1,5,2
120,E02000001,1,5,2
